# t C_xx C_xy C_xz C_yx C_yy C_yz C_zx C_zy C_zz 
0.000 3.271555e-01 2.125036e-17 6.938894e-18 2.515349e-17 1.951277e-01 1.127570e-17 6.938894e-18 6.938894e-18 1.588710e-01
1.000 3.208625e-01 -3.737698e-02 -6.052566e-06 6.273501e-02 1.913004e-01 4.198269e-05 9.118533e-05 4.643362e-05 1.586656e-01
2.002 3.028530e-01 -7.339033e-02 -1.027056e-04 1.231412e-01 1.805679e-01 1.417163e-05 2.822924e-04 3.668303e-05 1.586607e-01
3.002 2.737117e-01 -1.065677e-01 -2.459062e-04 1.787884e-01 1.631997e-01 -6.169845e-05 5.907033e-04 -1.189444e-06 1.586604e-01
4.002 2.344962e-01 -1.357932e-01 -4.147555e-04 2.278054e-01 1.398243e-01 -2.018115e-04 9.993781e-04 -7.638020e-05 1.586595e-01
5.000 1.867509e-01 -1.599644e-01 -5.853614e-04 2.683424e-01 1.113636e-01 -4.144014e-04 1.485416e-03 -1.984736e-04 1.586582e-01
6.000 1.320379e-01 -1.782943e-01 -7.274979e-04 2.990800e-01 7.874842e-02 -6.898895e-04 2.000087e-03 -3.739962e-04 1.586563e-01
7.000 7.247348e-02 -1.900532e-01 -8.163785e-04 3.187913e-01 4.324111e-02 -1.009919e-03 2.496043e-03 -6.014916e-04 1.586542e-01
8.000 1.024346e-02 -1.948127e-01 -8.387459e-04 3.267600e-01 6.146853e-03 -1.357518e-03 2.943868e-03 -8.763266e-04 1.586518e-01
9.000 -5.245971e-02 -1.923893e-01 -7.875881e-04 3.226822e-01 -3.122990e-02 -1.711261e-03 3.313126e-03 -1.190905e-03 1.586482e-01
10.002 -1.135255e-01 -1.827937e-01 -6.628184e-04 3.065750e-01 -6.763274e-02 -2.047479e-03 3.574201e-03 -1.535322e-03 1.586440e-01
11.002 -1.704277e-01 -1.663513e-01 -4.739296e-04 2.789810e-01 -1.015564e-01 -2.342134e-03 3.700974e-03 -1.894950e-03 1.586404e-01
12.002 -2.211070e-01 -1.436021e-01 -2.335906e-04 2.408052e-01 -1.317710e-01 -2.580953e-03 3.683935e-03 -2.254093e-03 1.586373e-01
13.002 -2.636209e-01 -1.153146e-01 4.638307e-05 1.933405e-01 -1.571183e-01 -2.757512e-03 3.529770e-03 -2.596356e-03 1.586345e-01
14.002 -2.962783e-01 -8.244780e-02 3.547687e-04 1.381976e-01 -1.765907e-01 -2.866661e-03 3.252277e-03 -2.905625e-03 1.586317e-01
15.002 -3.176570e-01 -4.615461e-02 6.878408e-04 7.731143e-02 -1.893410e-01 -2.906788e-03 2.886660e-03 -3.168214e-03 1.586292e-01
16.002 -3.266794e-01 -7.776028e-03 1.036575e-03 1.293016e-02 -1.947266e-01 -2.874073e-03 2.461120e-03 -3.376014e-03 1.586273e-01
17.002 -3.227062e-01 3.119654e-02 1.383941e-03 -5.244176e-02 -1.923661e-01 -2.762808e-03 1.994451e-03 -3.521083e-03 1.586263e-01
